Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Euro area,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725284,2725294,2725314,2725324,2725324,2725324,2725324,2757455,2757475,2757785,2758135,2757845,2757865,2758165,2758145,2758160,2758296,2758480,2758462,2758832,2759022,2759052,2759052
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600,117600
Spain,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505000,505020,505320,505370,505370,505370,505370,505370,505370,505370,505600,505600,505940,505940,505940,505940
Estonia,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230,45230
Ethiopia,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1221900,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300,1104300
European Union,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352794,4352804,4352824,4352904,4352904,4352834,4352834,4384965,4384985,4385295,4385645,4385415,4385435,4385725,4385705,4385720,4385856,4386040,4386022,4383312,4383528,4383564,4383564
Fragile and conflict affected situations,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15562478,15562478,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15676998,15676998,15694875.5,15694685.5,15694685.5,15694685.5,15694685.5
Finland,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338150,338440,338420,338420,338420,338420,338420,338420,338420,338420,338420
Fiji,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549086,549087,549087,549087,549387,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087,549087
Faroe Islands,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Gabon,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670,267670
United Kingdom,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610
Georgia,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700,69700
Ghana,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540,238540
Gibraltar,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Guinea,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860,245860
"Gambia, The",11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300,11300
Guinea-Bissau,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130,36130
Equatorial Guinea,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Greece,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960,131960
Grenada,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Greenland,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890,108890
Guam,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guyana,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970,214970
High income,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458942.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39459772.4,39459792.4,39459812.4,39459822.4,39459852.4,39459942.4,39528692.4,39528622.4,39528622.4,39563703.4,39564089.4,39564465.4,39564857.4,39564660.4,39564720.4,39565056,39565097.6,39764727.6,39764940.9,39765262.1,39765256.3,39762676.3,39763011.7,39763069.7,39763069.7
"Hong Kong SAR, China",1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1080,1090,1090,1090,1090,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1105,1105
Honduras,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490,112490
Heavily indebted poor countries (HIPC),20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,19767153.5,19767153.5,19767153.5,19767153.5,19767153.5
Croatia,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56540,56610,56610,56540,56540,56540,56540,56540,56540,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590,56590
Haiti,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750,27750
Hungary,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030,93030
IBRD only,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71393466,71391346,71391346,71393386,71393376,71393376,71393376,71393376,71393376,71393376,71393376,71392036,71392046,71392046,71392716,71393206,71393238,71393248,71393248,71393238,71393298,71393298,71366038,71366038,71364158,71364162.2,71364211.2,71364220.7,71364284.5,71366181.8,71366171.4,71366170.8,71366009.8,71363470,71363385,71363388,71363210,71363212,71363207,71363207
IDA & IBRD total,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98511344,98509224,98509224,98511264,98511254,98511254,98511254,98511254,98511254,98511254,98511254,98509914,98509924,98509924,98510594,98511964,98511996,98512086,98505163,98505163,98505223,98505213,98477953,98477953,98476073,98476077.2,98476126.2,98476135.7,98474526.5,98476423.8,98476413.4,98476412.8,98476251.8,98473711,98473626,98491761.5,98491583.5,98491585.5,98489576.5,98489576.5
IDA total,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27118758,27118758,27118838,27111915,27111925,27111925,27111915,27111915,27111915,27111915,27111915,27111915,27111915,27110242,27110242,27110242,27110242,27110242,27110241,27110241,27128373.5,27128373.5,27128373.5,27126369.5,27126369.5
IDA blend,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037640,6037640,6037650,6037650,6037640,6037640,6037640,6037640,6037640,6037640,6037640,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650
Indonesia,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910930,1910931,1910931
IDA only,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21081198,21081198,21081198,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21072592,21072592,21072592,21072592,21072592,21072591,21072591,21090723.5,21090723.5,21090723.5,21088719.5,21088719.5
Isle of Man,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
India,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287259,3287259
Ireland,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280,70280
"Iran, Islamic Rep.",1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150,1745150
Iraq,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,438320,435240,435240,435240,435050,435050,435050,435050
Iceland,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
Israel,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070,22070
Italy,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340,301340
Jamaica,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990,10990
Jordan,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,88780,89320,89320,89320,89320,89320,89320,89320
Japan,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377800,377880,377890,377900,377910,377910,377920,377930,377940,377947,377950,377955,377960,377962,377962,377962
Kazakhstan,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724900,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902,2724902
Kenya,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370,580370
Kyrgyz Republic,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199950,199949,199949,199949,199949,199949,199949,199949
Cambodia,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040,181040
Kiribati,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
St. Kitts and Nevis,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
"Korea, Rep.",99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99260,99540,99590,99600,99620,99650,99680,99720,99830,99900,100030,100030,100150,100266,100280,100280
Kuwait,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
Latin America & Caribbean (excluding high income),16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605912,16605912,16605910,16605911,16605911,16605911
Lao PDR,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800,236800
Lebanon,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450,10450
Liberia,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370,111370
Libya,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540
St. Lucia,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620
